Tên field;Nhóm;Loại
BLĐ.Chức danh;Ban lãnh đạo;Chuỗi
BLĐ.Họ và tên;Ban lãnh đạo;Chuỗi
BLĐ.Lĩnh vực quản lý;Ban lãnh đạo;Chuỗi
BLĐ.Năm sinh;Ban lãnh đạo;Chuỗi
BLĐ.Số năm công tác;Ban lãnh đạo;Số
BLĐ.Thời gian bổ nhiệm;Ban lãnh đạo;Số
BLĐ.Trình độ;Ban lãnh đạo;Chuỗi
HĐTD.Bổ sung BCĐX cho vay;Khoản vay;Chuỗi
HĐTD.Dư nợ của KH và NLQ tại Agribank;Thông tin tín dụng;Số
HĐTD.Dư nợ tại Agribank;Thông tin tín dụng;Số
HĐTD.Dư nợ tại TCTD khác;Thông tin tín dụng;Số
HĐTD.Đang QH t.dụng tại TCTD;Thông tin tín dụng;Chuỗi
HĐTD.Định kỳ trả gốc;Khoản vay;Chuỗi
HĐTD.Định kỳ trả lãi;Khoản vay;Chuỗi
HĐTD.Đồng tiền cho vay;Khoản vay;Chuỗi
HĐTD.Kỳ chấm điểm;Thông tin tín dụng;Chuỗi
HĐTD.Lợi nhuận dự kiến;Khoản vay;Số
HĐTD.Lý do đáp ứng/không đáp ứng TCMBLM;Khoản vay;Chuỗi
HĐTD.Mục đích vay;Khoản vay;Chuỗi
HĐTD.Nhóm nợ;Khoản vay;Chuỗi
HĐTD.Nhu cầu mở L/C;Khoản vay;Số
HĐTD.Nhu cầu phát hành bảo lãnh;Khoản vay;Số
HĐTD.Phương thức cho vay;Khoản vay;Chuỗi
HĐTD.Số tiền vay;Khoản vay;Số
HĐTD.Tài chính minh bạch, LM;Khoản vay;Bảng/Nội dung dài
HĐTD.Tổng chi phí dự kiến;Khoản vay;Số
HĐTD.Tổng doanh thu dự kiến;Khoản vay;Số
HĐTD.Tổng nghĩa vụ bảo đảm;Tài sản bảo đảm;Số
HĐTD.Tổng nghĩa vụ bảo đảm bằng chữ;Khoản vay;Chuỗi
HĐTD.Tổng nhu cầu cấp TD;Khoản vay;Số
HĐTD.Tổng nhu cầu vốn;Khoản vay;Số
HĐTD.Tỷ lệ % bảo đảm;Khoản vay;Phần trăm (%)
HĐTD.Thời hạn vay;Khoản vay;Số
HĐTD.Vốn chủ sở hữu;Khoản vay;Số
HĐTD.Vốn đối ứng;Khoản vay;Số
HĐTD.Vốn khác;Khoản vay;Số
HĐTD.Vốn lưu động ròng;Khoản vay;Số
HĐTD.Vốn vay TCTD khác;Khoản vay;Số
HĐTD.Xếp hạng KH theo Agribank;Khoản vay;Chuỗi
